Student_ID,First_Name,Last_Name,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Grade,Study_Hours_per_Week,Parent_Education_Level
Student_1,Melissa,Meza,Female,22,Civil Engineering,73.29,65.03,55.82,84.22,64.06,7.99,85.9,Grade E,6.2,Master's
Student_2,Gary,Barnes,Male,24,Mechanical Engineering,67.19,67.05,83.68,57.7,85.7,6.05,73.79,Grade D,20.7,Master's
Student_3,Melissa,Meza,Female,24,Electrical Engineering,85.15,47.79,70.63,66.06,83.51,5.54,92.12,Grade A,24.8,None
Student_4,Tanner,Carroll,Male,23,Computer Science,54.18,46.59,78.89,86.85,73.7,5.97,68.42,Grade E,15.4,High School
Student_5,Dylan,Bonilla,Male,19,Civil Engineering,91.91,45.67,73.96,90.12,95.9,4.73,93.24,Grade E,27.3,PhD
Student_6,Melissa,Mcclure,Female,21,Computer Science,85.97,84.42,90.87,57.05,56.33,0.51,94.01,Grade A,8,Bachelor's
Student_7,Regina,Johnston,Female,22,Civil Engineering,64.01,87.96,98.47,96.98,55.63,5.88,78.6,Grade A,9.6,High School
Student_8,Mary,Schmidt,Female,23,Computer Science,85.72,83.52,97.43,67.29,76.95,4.59,97.62,Grade A,13.2,Bachelor's
Student_9,Cheryl,Ballard,Female,20,Civil Engineering,77.75,52.14,91.37,52.24,87.85,7.61,90.95,Grade C,21.3,Master's
Student_10,Katherine,Love,Female,21,Civil Engineering,55.44,81.39,40.66,65.02,69.11,2.06,70.78,Grade E,18.1,PhD
Student_11,Matthew,Russell,Male,18,Mechanical Engineering,96.61,40.64,93.14,66.78,56.82,4.37,81.48,Grade A,22.8,None
Student_12,Cynthia,Davis,Female,19,Civil Engineering,72.62,58.31,44.5,54.64,75.53,1.81,56.09,Grade B,5.8,Master's
Student_13,Megan,Murphy,Female,18,Computer Science,86.72,63.93,91.07,81,66.88,6.14,77.57,Grade A,25.3,None
Student_14,Brianna,Page,Female,21,Computer Science,75.05,90.11,56.81,67.34,67.59,8.48,63.16,Grade E,29.7,High School
Student_15,Monique,Fox,Female,23,Mechanical Engineering,80.22,63.42,76.6,81.46,82.25,7.65,64.18,Grade E,6.2,PhD
Student_16,Kelly,Zimmerman,Female,20,Computer Science,65.14,40.68,42.28,50.34,94.28,9.44,56.29,Grade B,17.4,Master's
Student_17,Christopher,Patterson,Male,20,Civil Engineering,60.02,61.14,86.27,99.1,77.93,9.72,67.91,Grade D,23.5,PhD
Student_18,Jacqueline,Marsh,Female,22,Mechanical Engineering,72.01,96.94,64.64,82.97,83,2.87,80.02,Grade C,19.8,None
Student_19,Ashley,Robinson,Female,22,Civil Engineering,69.51,96.46,89.05,85.79,77.56,2.19,65.24,Grade C,28,High School
Student_20,Brenda,Perez,Female,23,Computer Science,83.63,50.85,81.72,58.58,65.54,4.48,89.61,Grade D,18.5,Master's
